Kanji,Kun,On,Arti,Kata 1,Kata 2,Kata 3,URL,Peringkat frekuensi
伝,"つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて","デン, テン","mengirimkan, ikut serta, berjalan menyusuri, mengikuti, laporan, berkomunikasi, legenda, tradisi","伝わる【つたわる】menyebar, bepergian, beredar, berkeliling, untuk dibagikan, ...","宣伝【せんでん】publisitas, iklan, periklanan, propaganda","伝記【でんき】biografi, kisah hidup",https://kanjikana.com/id/kanji/伝?jlpt=3,416
加,"くわ.える, くわ.わる",カ,"tambah, penambahan, meningkatkan, bergabung, termasuk, kanada","追加【ついか】penambahan, suplemen, menambahkan, lampiran","加熱【かねつ】pemanasan, penerapan panas",加速度【かそくど】percepatan,https://kanjikana.com/id/kanji/加?jlpt=3,130
反,"そ.る, そ.らす, かえ.す, かえ.る, -かえ.る","ハン, ホン, タン, ホ",anti-,"反省【はんせい】refleksi, pertimbangan kembali, introspeksi, meditasi, kontemplasi, ...","反映【はんえい】pantulan cahaya, pantulan (dari masyarakat, sikap, dll.), aplikasi, berlaku",違反【いはん】pelanggaran,https://kanjikana.com/id/kanji/反?jlpt=3,191
過,"す.ぎる, す.ごす, あやま.ち, あやま.つ, よぎ.る, よ.ぎる",カ,"berlebihan, melebihi, lebih dari itu, kesalahan",過半数【かはんすう】mayoritas,"過剰【かじょう】kelebihan, kelimpahan berlebihan","過失【かしつ】kecelakaan (akibat kelalaian), kesalahan, kesalahan besar, cacat",https://kanjikana.com/id/kanji/過?jlpt=3,285
然,"しか, しか.り, しか.し, さ","ゼン, ネン","jenis hal, jadi, jika begitu, dalam hal itu, baik","全然【ぜんぜん】sama sekali tidak, sepenuhnya, seluruhnya, sangat","突然【とつぜん】tiba-tiba, tak terduga","自然【しぜん】alam, alamiah, spontan, otomatis, secara alami, ...",https://kanjikana.com/id/kanji/然?jlpt=3,401
置,"お.く, -お.き",チ,"penempatan, letakkan, aturan, deposito, tinggalkan, tetap, mempekerjakan, bidak","物置【ものおき】ruang penyimpanan, gudang, kamar kayu","装置【そうち】peralatan, perangkat, instalasi, tata panggung","位置【いち】tempat, posisi, lokasi, berdiri, status, ...",https://kanjikana.com/id/kanji/置?jlpt=3,277
官,,カン,"birokrat, pemerintah, organ","官庁【かんちょう】kantor pemerintahan, lembaga pemerintah, otoritas","警官【けいかん】petugas polisi, polisi",,https://kanjikana.com/id/kanji/官?jlpt=3,230
命,いのち,"メイ, ミョウ","nasib, perintah, dekrit, takdir, kehidupan, menunjuk",人命【じんめい】kehidupan manusia,"命ずる【めいずる】memesan, memerintah, menunjuk","寿命【じゅみょう】rentang hidup, kehidupan, seumur hidup, umur, umur layanan, ...",https://kanjikana.com/id/kanji/命?jlpt=3,465
由,"よし, よ.る","ユ, ユウ, ユイ","mengapa, sebuah alasan","経由【けいゆ】melalui, melewati","理由【りゆう】alasan, dalih, motif",自由【じゆう】kebebasan,https://kanjikana.com/id/kanji/由?jlpt=3,325
認,"みと.める, したた.める",ニン,"mengakui, saksi, membedakan, mengenali, menghargai, percaya","確認【かくにん】konfirmasi, verifikasi, validasi, ulasan, periksa, ...","認める【みとめる】mengenali, mengakui, mengamati, memperhatikan, menganggap, ...","承認【しょうにん】pengakuan, persetujuan, perjanjian",https://kanjikana.com/id/kanji/認?jlpt=3,198
点,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち",テン,"titik, poin, tanda, daging asap, titik desimal","弱点【じゃくてん】titik lemah, kelemahan, kekurangan, cacat, titik sensitif","焦点【しょうてん】fokus, titik fokus, poin yang dipersoalkan, titik pusat","採点【さいてん】penandaan, penilaian, pencatatan skor",https://kanjikana.com/id/kanji/点?jlpt=3,165
放,"はな.す, -っぱな.し, はな.つ, はな.れる, こ.く, ほう.る",ホウ,"bebaskan, melepaskan, api, tembak, mengeluarkan, mengasingkan, membebaskan","解放【かいほう】melepaskan, pembebasan, membebaskan, dealokasi (memori komputer)","開放【かいほう】membuka (pintu, jendela, dll.), meninggalkan terbuka, membuka (misalnya untuk umum), mengizinkan akses (publik)","放る【ほうる】melempar, mengabaikan, meninggalkan, membiarkan sendiri, menyerah pada, ...",https://kanjikana.com/id/kanji/放?jlpt=3,288
期,,"キ, ゴ","periode, waktu, tanggal, istilah",短期【たんき】jangka pendek,"定期券【ていきけん】kartu langganan komuter, tiket musiman","期限【きげん】istilah, periode, jangka waktu, batas waktu, tenggat waktu",https://kanjikana.com/id/kanji/期?jlpt=3,117
優,"やさ.しい, すぐ.れる, まさ.る","ユウ, ウ","kelembutan, excel, melampaui, aktor, keunggulan","優勝【ゆうしょう】kemenangan keseluruhan, kejuaraan, memenangkan gelar, (di) surga, kebahagiaan, ...","優秀【ゆうしゅう】unggul, luar biasa, cemerlang","俳優【はいゆう】aktor, aktris, pemain, penampil",https://kanjikana.com/id/kanji/優?jlpt=3,334
告,つ.げる,コク,"wahyu, beritahu, memberitahukan, umumkan","報告【ほうこく】laporan, informasi","警告【けいこく】peringatan, saran","広告【こうこく】iklan, pengumuman, pemberitahuan",https://kanjikana.com/id/kanji/告?jlpt=3,188
民,たみ,ミン,"orang, bangsa, subjek","民間【みんかん】pribadi, non-pemerintah, tidak resmi, sipil, rakyat, ...","民謡【みんよう】lagu rakyat, lagu populer","住民【じゅうみん】penduduk, warga negara, populasi",https://kanjikana.com/id/kanji/民?jlpt=3,28
議,,ギ,"pertimbangan, konsultasi, debat","不思議【ふしぎ】luar biasa, aneh, penasaran, ajaib, misterius, ...","議員【ぎいん】anggota majelis, anggota parlemen, anggota Kongres","議論【ぎろん】argumen, diskusi, perselisihan, kontroversi",https://kanjikana.com/id/kanji/議?jlpt=3,25
乗,"の.る, -の.り, の.せる","ジョウ, ショウ","mengendarai, kekuatan, perkalian, rekaman, penghitung kendaraan, papan, gunung, bergabung","乗車【じょうしゃ】naik (kereta, bus, dll.), masuk ke (misalnya, taksi)","乗り換え【のりかえ】pindah (kereta, bus, dll.), perubahan, koneksi, beralih, konversi, ...","乗せる【のせる】meletakkan di atas (sesuatu), mengantar, mengambil, membantu di kapal, memuat (bagasi), ...",https://kanjikana.com/id/kanji/乗?jlpt=3,377
治,"おさ.める, おさ.まる, なお.る, なお.す","ジ, チ","pemerintahan, damai, tenang, menundukkan, meredakan, pemerintah, obat, sembuhkan, aturan, mengawetkan","自治【じち】pemerintahan sendiri, otonomi, otonomi pemerintah daerah","治める【おさめる】memerintah, mengelola, menaklukkan","治る【なおる】menjadi lebih baik, menjadi sehat, pulih (dari penyakit), disembuhkan, dipulihkan, ...",https://kanjikana.com/id/kanji/治?jlpt=3,109
状,,ジョウ,"status quo, kondisi, keadaan, bentuk, penampilan","状況【じょうきょう】keadaan, situasi, kondisi","状態【じょうたい】negara, kondisi, situasi, penampilan, keadaan","症状【しょうじょう】gejala, kondisi (pasien)",https://kanjikana.com/id/kanji/状?jlpt=3,298
達,-たち,"タツ, ダ","tercapai, mencapai, tiba","発達【はったつ】pengembangan, pertumbuhan","達する【たっする】mencapai, untuk sampai ke, tiba di",配達【はいたつ】pengiriman,https://kanjikana.com/id/kanji/達?jlpt=3,500
予,あらかじ.め,"ヨ, シャ","sebelumnya, diri sendiri, saya","予測【よそく】prediksi, perkiraan","予防【よぼう】pencegahan, perlindungan (terhadap)","予報【よほう】ramalan cuaca, prediksi",https://kanjikana.com/id/kanji/予?jlpt=3,180
消,"き.える, け.す",ショウ,"memadamkan, tiup mati, matikan, menetralisir, membatalkan","消極的【しょうきょくてき】negatif, pasif, setengah hati, tidak termotivasi","消化【しょうか】pencernaan (makanan), pencernaan (informasi), asimilasi, pemahaman menyeluruh, konsumsi, ...","消毒【しょうどく】disinfeksi, sterilisasi",https://kanjikana.com/id/kanji/消?jlpt=3,345
活,"い.きる, い.かす, い.ける",カツ,"hidup, resusitasi, dibantu","活躍【かつやく】aktivitas (khususnya yang energik atau berhasil), usaha besar, partisipasi aktif, berjalan-jalan dengan semangat besar","活力【かつりょく】vitalitas, energi, dinamisme","活字【かつじ】jenis cetakan, cetakan bergerak, teks cetak, cetak",https://kanjikana.com/id/kanji/活?jlpt=3,171
果,"は.たす, はた.す, -は.たす, は.てる, -は.てる, は.て",カ,"buah, hadiah, melaksanakan, mencapai, lengkap, akhir, selesai, berhasil","果たして【はたして】seperti yang diharapkan, sama seperti satu pemikiran, memang benar, sungguh, sebenarnya, ...","果実【かじつ】buah, kacang, beri, buah-buahan, keuntungan","結果【けっか】hasil, konsekuensi, efek, sebagai akibat dari ..., setelah ..., ...",https://kanjikana.com/id/kanji/果?jlpt=3,258
備,"そな.える, そな.わる, つぶさ.に",ビ,"perlengkapan, ketentuan, persiapan","警備【けいび】pertahanan, penjaga, polisi, keamanan","整備【せいび】pemeliharaan, menempatkan, pengembangan, peningkatan, persiapan, ...","準備【じゅんび】persiapan, pengaturan, bersiap-siap, ketentuan, mempertahankan",https://kanjikana.com/id/kanji/備?jlpt=3,356
流,"なが.れる, なが.れ, なが.す, -なが.す","リュウ, ル","arus, sebuah wastafel, mengalahkan","合流【ごうりゅう】pertemuan (sungai), bergabung (lalu lintas), konfluks, persimpangan, bergabung, ...","直流【ちょくりゅう】arus searah, dc","一流【いちりゅう】kelas satu, berkualitas tinggi, kelas atas, peringkat teratas, memimpin, ...",https://kanjikana.com/id/kanji/流?jlpt=3,280
守,"まも.る, まも.り, もり, -もり, かみ","シュ, ス","penjaga, melindungi, membela, patuhi","留守番【るすばん】pengasuhan, penjagaan rumah, menjaga rumah, tinggal di rumah, pengasuh, ...","守る【まもる】melindungi, menjaga, membela, mematuhi (aturan), mengamati, ...","留守【るす】ketidakhadiran, menjauh dari rumah, penjagaan rumah, penjaga rumah, dibiarkan tanpa pengawasan, ...",https://kanjikana.com/id/kanji/守?jlpt=3,457
愛,"いと.しい, かな.しい, め.でる, お.しむ, まな",アイ,"cinta, kasih sayang, favorit","愛【あい】cinta, kasih sayang, perawatan, lampiran, keinginan, ...",愛する【あいする】mencintai,"愛情【あいじょう】cinta, kasih sayang",https://kanjikana.com/id/kanji/愛?jlpt=3,640
呼,よ.ぶ,コ,"panggilan, berteriak kepada, undang","呼び出す【よびだす】memanggil, memanggil (misalnya telepon), mengumpulkan, mengelabui, memikat, ...","呼吸【こきゅう】pernapasan, keahlian, tipu, rahasia (cara melakukan sesuatu), keselarasan, ...","呼ぶ【よぶ】memanggil, memanggil (dokter, dll.), mengundang, menunjuk, menamai, ...",https://kanjikana.com/id/kanji/呼?jlpt=3,498
歳,"とし, とせ, よわい","サイ, セイ","akhir tahun, umur, kesempatan","万歳【ばんざい】banzai, hore, sesuatu untuk disemangati, sesuatu yang layak dirayakan, menyerah, ...",,,https://kanjikana.com/id/kanji/歳?jlpt=3,269
判,わか.る,"ハン, バン","penghakiman, tanda tangan, cap, segel","判事【はんじ】hakim, yudikatif","判断【はんだん】penghakiman, keputusan, kesimpulan, adjudikasi, peramalan","裁判【さいばん】percobaan, penghakiman",https://kanjikana.com/id/kanji/判?jlpt=3,197
頭,"あたま, かしら, -がしら, かぶり","トウ, ズ, ト","kepala, penghitung untuk hewan besar","頭脳【ずのう】kepala, otak, intelek, pemahaman",頭痛【ずつう】sakit kepala,"頭【あたま】kepala, rambut, pikiran, otak, intelek, ...",https://kanjikana.com/id/kanji/頭?jlpt=3,433
断,"た.つ, ことわ.る, さだ.める",ダン,"pesangon, penurunan, menolak, minta maaf, peringatkan, memecat, melarang, keputusan, penghakiman, pemotongan","油断【ゆだん】kelalaian, ketidakperhatian, ketidaksiapan","断定【だんてい】kesimpulan, keputusan, penghakiman, deklarasi, positif","診断【しんだん】diagnosis, pemeriksaan medis",https://kanjikana.com/id/kanji/断?jlpt=3,338
説,と.く,"セツ, ゼイ","pendapat, teori, penjelasan, desas-desus","社説【しゃせつ】editorial, artikel utama, pemimpin","解説【かいせつ】penjelasan, komentar, pameran","演説【えんぜつ】pidato, alamat",https://kanjikana.com/id/kanji/説?jlpt=3,326
役,,"ヤク, エキ","tugas, perang, kampanye, tenaga kerja yang direkrut, kantor, layanan, peran","役目【やくめ】tugas, peran, fungsi","主役【しゅやく】bagian utama, aktor utama, aktris utama","役所【やくしょ】kantor pemerintah, jabatan publik",https://kanjikana.com/id/kanji/役?jlpt=3,315
負,"ま.ける, ま.かす, お.う",フ,"kekalahan, negatif, -, kurang, beruang, berhutang, mengambil tanggung jawab","勝負【しょうぶ】kemenangan atau kekalahan, pertandingan, kontes, permainan, tentang","背負う【せおう】membawa di punggung, dibebani dengan, bertanggung jawab atas, memiliki (sesuatu) di latar belakang, berada di depan, ...","負け【まけ】kekalahan, kehilangan, kalah, tidak memenuhi ekspektasi, diskon, ...",https://kanjikana.com/id/kanji/負?jlpt=3,443
追,お.う,ツイ,"memburu, mengusir, mengikuti, sementara itu","追加【ついか】penambahan, suplemen, menambahkan, lampiran",追いかける【おいかける】mengejar,"追い越す【おいこす】menyalip, mendahului, melebihi, mengungguli, melampaui",https://kanjikana.com/id/kanji/追?jlpt=3,411
在,あ.る,ザイ,"ada, pinggiran, pinggiran kota, terletak di","在学【ざいがく】menghadiri (sekolah, perguruan tinggi, dll), terdaftar, menjadi seorang siswa","存在【そんざい】keberadaan, makhluk, kehadiran","現在【げんざい】saat ini, waktu sekarang, sekarang, per tanggal, dunia ini, ...",https://kanjikana.com/id/kanji/在?jlpt=3,211
他,ほか,タ,"lain, yang lainnya","その他【そのほか】sisa, yang lain, selain itu, dan lainnya ..., dan seterusnya, ...",他【た】lain (terutama orang dan hal abstrak),"他人【たにん】orang lain, lainnya, orang yang tidak terkait (yaitu tidak terkait secara darah), orang luar, orang asing",https://kanjikana.com/id/kanji/他?jlpt=3,543
太,"ふと.い, ふと.る","タイ, タ","gemuk, tebal, besar di sekitar",太鼓【たいこ】drum,太陽【たいよう】matahari,"太る【ふとる】menambah berat badan, menggemuk, menjadi gemuk",https://kanjikana.com/id/kanji/太?jlpt=3,552
葉,は,ヨウ,"daun, pesawat, lobus, jarum, bilah, tombak, penghitung untuk benda datar, fragmen, potongan","紅葉【こうよう】warna musim gugur, daun berganti warna, daun berubah merah, daun merah, daun berubah menjadi kuning, ...","葉【は】daun, lembaran (rumput), jarum pinus","言葉【ことば】bahasa, dialek, kata, frasa, ekspresi, ...",https://kanjikana.com/id/kanji/葉?jlpt=3,414
政,"まつりごと, まん","セイ, ショウ","politik, pemerintah",政党【せいとう】partai politik,"政府【せいふ】pemerintah, administrasi, kementerian","政治【せいじ】politik, pemerintah",https://kanjikana.com/id/kanji/政?jlpt=3,17
君,"きみ, -ぎみ",クン,"tuan, kamu, penggaris, akhiran nama laki-laki","君【くん】Tn. (junior), master, anak laki-laki","君【きみ】kamu, teman, monarki, penggaris, berdaulat, ...",,https://kanjikana.com/id/kanji/君?jlpt=3,27
頼,"たの.む, たの.もしい, たよ.る",ライ,"kepercayaan, permintaan","頼もしい【たのもしい】andal, dapat dipercaya, menenangkan, penuh harapan, menjanjikan","信頼【しんらい】ketergantungan, percaya, iman, kepercayaan diri","頼る【たよる】mengandalkan, bergantung pada, meminta bantuan kepada",https://kanjikana.com/id/kanji/頼?jlpt=3,708
和,"やわ.らぐ, やわ.らげる, なご.む, なご.やか, あ.える","ワ, オ, カ","harmoni, gaya jepang, kedamaian, melembutkan, jepang",和服【わふく】pakaian jepang,"英和【えいわ】inggris-jepang, kamus inggris-jepang","和英【わえい】jepang-inggris, kamus jepang-inggris",https://kanjikana.com/id/kanji/和?jlpt=3,124
王,,"オウ, -ノウ","raja, aturan, konglomerat",王女【おうじょ】putri,"国王【こくおう】raja, ratu, berdaulat, mahkota, takhta","王【おう】raja, penggaris, berdaulat, raja atau ratu, taipan, ...",https://kanjikana.com/id/kanji/王?jlpt=3,684
術,すべ,ジュツ,"seni, teknik, keterampilan, berarti, tipu, sumber daya, sihir","学術【がくじゅつ】ilmu pengetahuan, pembelajaran, beasiswa, seni dan sains, pursuit akademik","手術【しゅじゅつ】operasi, prosedur, keterampilan dengan tangan, kelincahan tangan","芸術【げいじゅつ】seni, seni-seni",https://kanjikana.com/id/kanji/術?jlpt=3,350
込,"-こ.む, こ.む, こ.み, -こ.み, こ.める",,"ramai, campuran, dalam jumlah besar, termasuk, (tanpa karakter)","突っ込む【つっこむ】menusukkan (sesuatu) ke dalam (sesuatu), menghafal, memenuhi, mendorong, menyelam ke dalam, ...","飛び込む【とびこむ】melompat ke dalam, terjun ke dalam, menyelam, meledak masuk, menerobos masuk","払い込む【はらいこむ】menyetorkan, membayar di",https://kanjikana.com/id/kanji/込?jlpt=3,675
支,"ささ.える, つか.える, か.う",シ,"cabang, dukungan, mempertahankan, radikal cabang (no. 65)",差し支え【さしつかえ】hambatan,"支配【しはい】aturan, dominasi, kontrol, arah, manajemen, ...","支える【ささえる】mendukung, menyangga, mempertahankan, melapisi, menahan, ...",https://kanjikana.com/id/kanji/支?jlpt=3,159
産,"う.む, う.まれる, うぶ-, む.す",サン,"produk, beruang, melahirkan, hasil, persalinan, pribumi, properti",農産物【のうさんぶつ】hasil pertanian,産地【さんち】daerah penghasil,"水産【すいさん】produk akuatik, perikanan",https://kanjikana.com/id/kanji/産?jlpt=3,161
交,"まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも",コウ,"bergaul, mencampurkan, asosiasi, datang & pergi","交代【こうたい】pergantian, perubahan, lega, estafet, pergeseran, ...","交通機関【こうつうきかん】alat transportasi, transportasi, fasilitas transportasi, sistem transportasi, sistem transit","交差【こうさ】penyeberangan, persimpangan, (pindah silang) genetik",https://kanjikana.com/id/kanji/交?jlpt=3,178
察,,サツ,"tebak, menganggap, dugaan, hakim, mengerti","観察【かんさつ】pengamatan, survei, menonton",診察【しんさつ】pemeriksaan medis,"警察【けいさつ】polisi, petugas polisi, kantor polisi",https://kanjikana.com/id/kanji/察?jlpt=3,477
難,"かた.い, -がた.い, むずか.しい, むづか.しい, むつか.しい, -にく.い",ナン,"sulit, tidak mungkin, masalah, kecelakaan, cacat","盗難【とうなん】pencurian, perampokan","災難【さいなん】bencana, kesialan","困難【こんなん】kesulitan, masalah, ketidakmungkinan, ketidakmampuan",https://kanjikana.com/id/kanji/難?jlpt=3,330
想,おも.う,"ソウ, ソ","konsep, berpikir, ide, pikiran","感想【かんそう】kesan, pikiran, perasaan, reaksi","発想【はっそう】ide, konsepsi, cara berpikir, pendekatan, ekspresi","空想【くうそう】berkhayal, fantasi, mewah, visi",https://kanjikana.com/id/kanji/想?jlpt=3,381
常,"つね, とこ-",ジョウ,"biasa, normal, umum, reguler, terus-menerus, selalu, tahan lama","常に【つねに】selalu, terus-menerus","異常【いじょう】keanehan, kelainan, gangguan","日常【にちじょう】setiap hari, harian, biasa, rutinitas",https://kanjikana.com/id/kanji/常?jlpt=3,293
望,"のぞ.む, もち","ボウ, モウ","ambisi, bulan purnama, harapan, keinginan, berharap untuk, mengharapkan",望遠鏡【ぼうえんきょう】teleskop,"望む【のぞむ】menginginkan, ingin, mengharapkan, mengharapkan (dari seseorang), melihat, ...","希望【きぼう】harapan, keinginan, aspirasi, prospek (cerah)",https://kanjikana.com/id/kanji/望?jlpt=3,470
打,"う.つ, う.ち-, ぶ.つ","ダ, ダース","pukulan, ketuk, pon, lusin","打ち消す【うちけす】menyangkal, membantah, membatalkan (khususnya suara), menenggelamkan suara","打ち合わせ【うちあわせ】pengaturan sebelumnya, pertemuan persiapan, sesi pengarahan, tumpang tindih, membuat sesuatu cocok dengan tepat","打つ【ぶつ】memukul (seseorang), memukul, mengalahkan, menyampaikan (pidato), memberikan (pidato), ...",https://kanjikana.com/id/kanji/打?jlpt=3,239
制,,セイ,"sistem, hukum, aturan","制作【せいさく】karya (film, buku), produksi, penciptaan, mematikan (sesuatu), pengembangan","専制【せんせい】kediktatoran, otokrasi","体制【たいせい】pesan, sistem, struktur, persiapan, organisasi",https://kanjikana.com/id/kanji/制?jlpt=3,108
談,,ダン,"membahas, bicara","冗談【じょうだん】lelucon, cerita lucu","相談【そうだん】konsultasi, diskusi, membahas, meminta saran",,https://kanjikana.com/id/kanji/談?jlpt=3,272
共,"とも, とも.に, -ども",キョウ,"bersama, keduanya, tidak ada satu pun, semua, dan, sama, dengan","公共【こうきょう】publik (fasilitas, layanan, dll.), komunal","共に【ともに】bersama, bersama-sama, pada saat yang sama, dengan, sebagai ..., ...","共同【きょうどう】kerja sama, kolaborasi, asosiasi, kemitraan, serempak, ...",https://kanjikana.com/id/kanji/共?jlpt=3,174
市,いち,シ,"pasar, kota","市場【いちば】pasar kota, pasar jalanan, pasar","市【いち】pasar, adil","都市【とし】kota, municipal, perkotaan",https://kanjikana.com/id/kanji/市?jlpt=3,42
構,"かま.える, かま.う",コウ,"postur, bangun, berpura-pura","構造【こうぞう】struktur, konstruksi, rias wajah, kerangka kerja, organisasi, ...","構う【かまう】memperhatikan, peduli tentang, khawatir tentang, menghargai, menjadi masalah, ...","構成【こうせい】komposisi, konstruksi, formasi, rias, struktur, ...",https://kanjikana.com/id/kanji/構?jlpt=3,316
位,"くらい, ぐらい",イ,"peringkat, nilai, takhta, mahkota, tentang, beberapa","位置【いち】tempat, posisi, lokasi, berdiri, status, ...","位【くらい】takhta, mahkota, tempat duduk bangsawan, posisi pemerintah, peringkat pengadilan, ...","地位【ちい】posisi sosial, status, berdiri, jabatan, pos, ...",https://kanjikana.com/id/kanji/位?jlpt=3,276
式,,シキ,"gaya, upacara, fungsi, metode, sistem, bentuk, ekspresi","儀式【ぎしき】upacara, ritual, layanan",葬式【そうしき】pemakaman,"形式【けいしき】bentuk (sebagai lawan dari substansi), format, bentuk, gaya, sikap, ...",https://kanjikana.com/id/kanji/式?jlpt=3,251
戻,"もど.す, もど.る",レイ,"ulang, kembali, riwayat hidup, memulihkan, mundur","払い戻す【はらいもどす】membayar kembali, membalas, mengembalikan dana, mengganti rugi","戻す【もどす】mengembalikan, mengembalikan ke keadaan semula, memutar kembali (misalnya jarum jam), muntah, pulih (untuk harga pasar)","戻る【もどる】berbalik arah, mengembalikan, kembali, memulihkan (misalnya sesuatu yang hilang), dikembalikan, ...",https://kanjikana.com/id/kanji/戻?jlpt=3,890
覚,"おぼ.える, さ.ます, さ.める, さと.る",カク,"menghafal, belajar, ingat, terjaga, menghilangkan mabuk","目覚まし【めざまし】jam alarm, bangun tidur, menjaga diri tetap terjaga, makanan ringan pagi hari (biasanya diberikan kepada anak-anak di beberapa bagian Jepang), bangun manis","覚悟【かくご】kesiapan, terjemahan, pengunduran diri","覚ます【さます】membangunkan, membangunkan dari tidur, membawa kembali ke akal sehat, membuat (seseorang) menyadari kesalahannya, menjadi sadar, ...",https://kanjikana.com/id/kanji/覚?jlpt=3,710
飛,"と.ぶ, と.ばす, -と.ばす",ヒ,"terbang, lewati (halaman), menyebar","飛び込む【とびこむ】melompat ke dalam, terjun ke dalam, menyelam, meledak masuk, menerobos masuk","飛ばす【とばす】melepaskan, membuat terbang, mengirim terbang, terbang (misalnya oleh angin), meluncurkan, ...","飛び出す【とびだす】melompat keluar, bergegas keluar, terbang keluar, muncul tiba-tiba, menonjol, ...",https://kanjikana.com/id/kanji/飛?jlpt=3,580
返,"かえ.す, -かえ.す, かえ.る, -かえ.る",ヘン,"kembali, jawaban, memudar, membayar kembali","裏返す【うらがえす】membalik ke dalam, berbalik arah, membalikkan","返る【かえる】mengembalikan, kembali, membalikkan, menjadi sangat, menjadi sepenuhnya","引き返す【ひきかえす】berbalik, kembali, mengembalikan, mengulang langkah seseorang",https://kanjikana.com/id/kanji/返?jlpt=3,685
念,,ネン,"keinginan, indera, ide, pikiran, perasaan, perhatian","観念【かんねん】ide, gagasan, konsep, konsepsi, rasa (misalnya, rasa tanggung jawab), ...","記念【きねん】peringatan, perayaan, kenangan, ingatan, menghormati kenangan akan, ...","残念【ざんねん】menyesal, sial, mengecewakan, menjengkelkan",https://kanjikana.com/id/kanji/念?jlpt=3,390
済,"す.む, -ず.み, -ずみ, す.まない, す.ます, -す.ます, すく.う, な.す, わたし, わた.る","サイ, セイ","melunasi (utang, dll.), meringankan, selesai, berakhir, dapat dimaafkan, tidak perlu","済まない【すまない】tak termaafkan, tidak dapat dibenarkan, tidak termaafkan, maaf, menyesal, ...","済ませる【すませる】menyelesaikan, mengakhiri, membiarkan berakhir","済む【すむ】menyelesaikan, mengakhiri, harus diselesaikan, hanya menghasilkan sesuatu yang kurang parah dari yang diharapkan, merasa nyaman, ...",https://kanjikana.com/id/kanji/済?jlpt=3,168
客,,"キャク, カク","tamu, pengunjung, pelanggan, klien","客席【きゃくせき】tempat duduk tamu (mis. teater, stadion), kursi penumpang, penonton",観客【かんきゃく】penonton,乗客【じょうきゃく】penumpang,https://kanjikana.com/id/kanji/客?jlpt=3,557
格,,"カク, コウ, キャク, ゴウ","status, peringkat, kapasitas, karakter, kasus (hukum, tata bahasa)","格別【かくべつ】khusus, luar biasa, terutama","同格【どうかく】pangkat yang sama, kesetaraan, aposisi","格好【かっこう】bentuk, figur, postur, berpose, penampilan, ...",https://kanjikana.com/id/kanji/格?jlpt=3,281
顔,かお,ガン,"wajah, ekspresi","笑顔【えがお】wajah tersenyum, senyum",,,https://kanjikana.com/id/kanji/顔?jlpt=3,676
危,"あぶ.ない, あや.うい, あや.ぶむ",キ,"berbahaya, ketakutan, gelisah","危険【きけん】bahaya, risiko","危ない【あぶない】berbahaya, berisiko, dalam bahaya, kritis, kuburan, ...",,https://kanjikana.com/id/kanji/危?jlpt=3,606
首,くび,シュ,"leher, penghitung untuk lagu dan puisi",部首【ぶしゅ】radikal (dari karakter kanji),手首【てくび】pergelangan tangan,"首相【しゅしょう】perdana menteri, kanselir, perdana",https://kanjikana.com/id/kanji/首?jlpt=3,98
良,"よ.い, -よ.い, い.い, -い.い",リョウ,"baik, menyenangkan, terampil","良い【よい】baik, luar biasa, bagus, menyenangkan, cukup, ...",,,https://kanjikana.com/id/kanji/良?jlpt=3,501
投,"な.げる, -な.げ",トウ,"melempar, membuang, mengabaikan, meluncur ke, bergabung, berinvestasi di, menyerah, jual rugi","投書【とうしょ】surat (misalnya surat keluhan), surat untuk editor, surat dari pembaca, kontribusi (ke sebuah koran, majalah, dll.)","投票【とうひょう】pemungutan suara, surat suara, jajak pendapat, memilih","投げる【なげる】melempar, mencorakkan, menyerah, meninggalkan, membuang",https://kanjikana.com/id/kanji/投?jlpt=3,236
権,"おもり, かり, はか.る","ケン, ゴン","otoritas, kekuatan, hak-hak","権利【けんり】kanan, hak istimewa",,,https://kanjikana.com/id/kanji/権?jlpt=3,156
両,"てる, ふたつ",リョウ,"keduanya, koin Jepang kuno, penghitung gerbong, dua",両側【りょうがわ】kedua sisi,"両替【りょうがえ】perubahan, penukaran uang","両方【りょうほう】keduanya, kedua sisi, kedua belah pihak",https://kanjikana.com/id/kanji/両?jlpt=3,247
演,,エン,"kinerja, bertindak, bermain, menggambarkan, panggung","演劇【えんげき】drama, teater, bermain","演技【えんぎ】akting, kinerja",演奏【えんそう】pertunjukan musik,https://kanjikana.com/id/kanji/演?jlpt=3,267
師,いくさ,シ,"ahli, guru, tuan, model, contoh, tentara (termasuk penangkal), perang",漁師【りょうし】nelayan,"講師【こうし】pembicara, dosen, instruktur, guru paruh waktu, tutor (di sekolah bimbingan belajar)",医師【いし】dokter,https://kanjikana.com/id/kanji/師?jlpt=3,563
害,,ガイ,"bahaya, cedera","公害【こうがい】polusi, gangguan umum, kontaminasi","利害【りがい】kelebihan dan kekurangan, kepentingan (para pihak)","被害【ひがい】kerusakan, cedera, kerugian",https://kanjikana.com/id/kanji/害?jlpt=3,358
